feature,importance
X17,245
X18,245
X23,239
X2,218
X22,191
X19,182
X21,165
X5,164
X16,157
X9,147
X6,112
X7,110
X8,103
X3,93
X25,73
X4,61
X1,47
X15,47
X50,46
X13,43
X28,39
X49,33
X11,29
X32,24
X10,23
X34,21
X42,19
X39,19
X20,18
X44,16
X43,14
X31,13
X36,11
X24,11
X14,7
X38,6
X35,4
X40,4
X12,1
X47,0
X48,0
X46,0
X45,0
X26,0
X41,0
X37,0
X33,0
X30,0
X29,0
X27,0
X51,0
