feature,importance
X17,0.1
X23,0.1
X19,0.1
X5,0.08
X7,0.08
X2,0.06
X22,0.06
X28,0.06
X3,0.04
X6,0.04
X8,0.04
X9,0.04
X25,0.02
X21,0.02
X20,0.02
X18,0.02
X31,0.02
X32,0.02
X13,0.02
X11,0.02
X49,0.02
X50,0.02
X41,0.0
X39,0.0
X42,0.0
X40,0.0
X1,0.0
X43,0.0
X44,0.0
X37,0.0
X45,0.0
X46,0.0
X47,0.0
X48,0.0
X38,0.0
X26,0.0
X36,0.0
X35,0.0
X34,0.0
X33,0.0
X30,0.0
X29,0.0
X27,0.0
X24,0.0
X16,0.0
X15,0.0
X14,0.0
X12,0.0
X10,0.0
X4,0.0
X51,0.0
